Lake Name:,Lake Winnipeg,,,,,,,
Station Nam,e:  add1,,,,,,,
Station Lat,itude and Longit,ude:   5,2.5500 -97.6390,,,,,
2007174,3.259,271,12.824,0.948,329.75,305.943,984.997,0
2007175,5.199,70.898,15.097,0.995,121.75,391.745,978.287,0
2007176,7.436,235.939,12.953,0.885,185,348.676,990.212,0.00003
2007177,11.581,262.563,11.567,0.9,38,367.775,983.905,0.00079
2007178,10.472,198.169,10.666,0.847,145.25,348.85,995.362,0.00005
2007179,5.941,71.327,13.062,0.768,346.25,280.813,999.412,0
2007180,4.013,275.152,13.572,0.827,338.25,298.124,997.536,0
2007181,8.185,289.666,13.205,0.778,231.5,310.355,998.26,0
2007182,9.331,308.891,15.829,0.837,120.25,385.013,993.382,0
2007183,4.994,179.716,16.32,0.988,180,388.616,988.079,0.00006
2007184,1.612,82.284,17.15,0.916,322.25,344.506,984.762,0
2007185,6.689,107.366,17.71,0.797,263.25,335.688,986.144,0
2007186,5.853,187.657,16.198,0.946,295.5,335.887,992.86,0
2007187,5.761,327.734,17.155,0.84,316,332.893,989.726,0.00002
2007188,5.09,242.24,17.416,0.921,276.5,341.093,977.848,0
2007189,10.711,164.051,14.386,0.948,210.25,357.971,981.604,0
2007190,1.135,168.225,15.213,0.73,257.75,314.043,988.503,0
2007191,5.429,190.754,16.152,0.793,257.75,337.974,985.469,0
2007192,8.799,149.903,15.187,0.795,290,309.878,986.713,0
2007193,7.663,188.555,14.44,0.776,318.5,292.269,990.026,0
2007194,7.202,82.287,16.745,0.897,111.75,389.652,980.706,0
2007195,4.881,165.168,16.303,0.909,308.75,313.595,985.422,0
2007196,0.918,143.562,16.407,0.836,163.75,328.144,986.427,0
2007197,3.225,90.997,17.026,0.836,263,318.006,987.219,0
2007198,1.899,68.421,17.155,0.839,258.25,318.117,986.794,0
2007199,4.553,152.585,17.202,0.85,256.25,336.674,988.146,0
2007200,2.399,274.584,16.514,0.683,302.25,299.689,997.665,0
2007201,6.1,349.693,17.077,0.792,298.5,308.033,993.005,0
2007202,8.888,358.285,17.975,0.769,283.75,344.265,986.915,0
2007203,6.569,111.821,19.439,0.908,281,359.842,984.404,0
2007204,6.841,330.75,19.05,0.821,196.5,399.32,987.666,0
2007205,4.512,297.146,19.677,0.956,271,372.748,983.678,0
2007206,6.414,155.434,18.874,0.961,108.25,400.356,979.882,0.00168
2007207,6.38,129.815,17.623,0.799,276.5,323.015,986.631,0.00004
2007208,3.329,135.288,16.904,0.822,270.5,313.709,991.419,0
2007209,5.211,16.355,17.746,0.84,108,379.902,988.045,0
2007210,3.588,188.541,17.601,0.956,260.5,348.158,982.246,0
2007211,6.066,284.158,18.231,0.95,259.75,346.199,984.76,0
2007212,6.387,22.431,19.965,0.818,206.75,374.826,978.875,0
2007213,11.954,111.291,17.12,0.848,258.25,321.108,978.659,0
2007214,13.357,120.926,16.755,0.782,208,327.187,983.357,0
2007215,1.322,73.993,17,0.711,256,302.444,992.297,0
2007216,8.636,315.592,17.991,0.727,178,362.914,984.233,0
2007217,9.291,60.477,17.743,0.806,245,323.261,973.462,0
2007218,2.855,34.199,16.563,0.829,243.5,309.426,985.614,0.00002
2007219,6.542,53.148,15.74,0.891,236.75,317.831,979.677,0
2007220,13.164,9.538,18.315,0.883,198,354.871,975.438,0
2007221,7.56,170.221,17.583,0.953,122.75,387.76,983.074,0
2007222,6.852,210.75,16.337,0.95,41.75,394.24,989.043,0.00017
2007223,1.46,48.206,16.819,0.982,14.75,397.816,978.759,0.01251
2007224,6.653,114.109,16.272,0.785,226.5,297.648,995.963,0.00002
2007225,7.548,328.23,17.287,0.802,104.5,363.235,990.707,0.00002
2007226,8.362,159.029,15.17,0.678,133.25,337.007,989.779,0
2007227,7.565,69.839,15.359,0.83,174.75,340.349,981.826,0.00162
2007228,11.338,128.9,15.118,0.666,208,293.549,988.607,0.00003
2007229,4.313,221.075,12.626,0.754,198.75,289.319,998.377,0
2007230,2.564,352.687,14.444,0.856,79.75,357.149,995.344,0.00011
2007231,5.91,300.297,15.844,0.773,192.75,305.935,993.893,0
2007232,9.505,326.548,15.999,0.785,194,304.963,986.58,0
2007233,8.42,22.587,16.751,0.894,187,322.632,975.139,0
2007234,10.245,53.772,16.516,0.782,181,319.351,974.429,0
2007235,9.524,127.75,14.993,0.856,43.5,377.337,980.961,0.00022
2007236,3.974,201.639,12.529,0.804,37.75,358.581,987.438,0.00005
2007237,7.701,44.356,15.33,0.674,176,296.077,986.986,0
2007238,12.049,18.146,17.083,0.804,40,379.038,975.74,0.00001
2007239,5.21,165.258,15.095,0.576,162,291.554,987.044,0
2007240,5.288,75.196,16.044,0.585,140.5,320.701,990.438,0
2007241,6.429,118.407,14.655,0.789,81,361.59,993.713,0.00007
2007242,5.884,58.332,15.717,0.793,46.5,359.834,994.282,0.00018
2007243,5.972,328.657,13.133,0.847,140.75,299.854,996.692,0
2007244,9.317,359.301,16.161,0.929,65,385.129,982.038,0.00037
2007245,11.506,127.128,13.062,0.851,147,289.019,988.401,0
2007246,3.486,315.246,13.707,0.87,55.25,354.121,992.465,0
2007247,4.854,311.718,13.526,0.88,131,305.337,989.005,0
2007248,7.517,34.131,14.75,0.962,96,346.651,975.116,0
2007249,3.177,160.636,13.399,0.87,129,293.655,982.083,0.00004
2007250,10.941,180.219,12.028,0.939,17.25,366.317,981.705,0.0017
2007251,3.211,266.635,9.642,0.803,44.25,342.319,996.253,0
2007252,4.157,28.565,12.062,0.707,116,279.489,998.552,0
2007253,7.916,41.152,11.725,0.862,52.5,324.634,985.806,0
2007254,10.183,194.189,4.218,0.749,46.5,309.109,995.854,0.00003
2007255,12.478,332.392,6.842,0.916,15.75,336.912,989.147,0.0002
2007256,12.794,220.904,4.571,0.92,20.25,322.244,981.189,0.00025
2007257,8.43,145.38,8.723,0.584,62.5,295.877,994.928,0
2007258,6.585,52.818,10.778,0.694,95.5,269.579,984.26,0
2007259,1.149,44.395,13.472,0.88,74,315.578,980.955,0
2007260,9.171,260.38,11.942,0.899,77,320.187,976.718,0
2007261,9.089,159.08,12.062,0.946,32.25,367.721,981.036,0
2007262,8.294,152.872,9.692,0.766,67,281.498,994.573,0
2007263,7.958,33.55,11.205,0.853,13.5,351.901,991.084,0.00086
2007264,4.005,87.437,12.254,0.948,14.5,370.973,972.864,0.00009
2007265,7.007,109.532,10.473,0.76,63.25,279.258,983.008,0
2007266,8.59,289.886,11.203,0.852,13.75,349.36,982.938,0
2007267,9.602,198.275,9.377,0.915,7.5,352.76,981.2,0.00031
2007268,4.779,196.904,7.514,0.815,24.75,331.194,988.402,0.00001
2007269,6.361,10.177,10.57,0.824,18.25,334.555,980.225,0
2007270,9.237,110.321,11.82,0.896,8.5,362.064,980.563,0.00001
2007271,6.964,7.99,12.005,0.794,45.5,279.828,990.175,0
2007272,10.037,321.539,12.627,0.837,32.25,316.149,976.697,0
2007273,14.021,156.026,11.562,0.893,14.75,362.14,979.516,0.00001
2007274,5.379,340.56,6.52,0.902,28,285.722,991.162,0
2007275,4.205,33.744,8.205,0.911,25.75,317.006,973.83,0
2007276,8.374,350.249,8.02,0.828,29.75,271.34,972.069,0
2007277,9.184,86.835,6.758,0.883,27.5,254.305,978.561,0
2007278,3.798,216.921,6.133,0.851,28.25,260.982,1000.186,0
2007279,10.945,270.243,5.07,0.835,7.75,324.472,993.762,0.00001
2007280,9.405,153.099,5.149,0.854,10.75,311.255,986.907,0.00001
2007281,6.75,275.269,4.779,0.836,8.25,316.039,991.663,0.00014
2007282,13.062,180.22,3.931,0.828,4,317.233,991.895,0.00001
2007283,7.387,226.766,2.752,0.828,5.75,310.819,1006.043,0.00001
2007284,8.763,322.488,2.831,0.89,4.5,313.234,1000.277,0
2007285,8.177,336.199,5.259,0.875,3.5,298.083,988.965,0.00004
2007286,2.251,80.458,6.651,0.951,1.5,330.427,989.988,0.00001
2007287,2.743,322.107,6.498,0.859,0,315.932,996.591,0
2007288,6.053,9.549,7.188,0.905,0,262.435,996.38,0
2007289,5.583,316.205,6.811,0.866,0,252.513,992.922,0
2007290,5.902,302.022,5.711,0.944,0,325.091,981.543,0.00001
2007291,3.492,240.726,6.773,0.986,0,347.801,977.559,0.00001
2007292,6.818,163.88,6.836,0.985,0,342.488,967.505,0.00013
2007293,6.053,100.192,6.739,0.958,0,283.922,966.561,0
2007294,9.209,117.943,5.501,0.89,0,253.36,980.224,0
2007295,10.848,122.958,5.4,0.803,0,320.079,988.129,0.00029
2007296,11.393,129.369,6.33,0.892,0,326.069,978.459,0
2007297,4.91,45.538,6.011,0.876,0,254.817,996.443,0
2007298,9.086,40.252,9.195,0.773,0,296.516,973.595,0
2007299,10.676,98.285,5.781,0.665,0,262.202,993.25,0
2007300,10.222,151.695,2.67,0.76,0,304.969,1002.453,0.00003
2007301,13.519,13.726,3.582,0.761,0,263.787,991.068,0
2007302,3.251,212.225,5.08,0.828,0,266.938,993.798,0
2007303,8.604,300.204,4.62,0.898,0,277.49,980.443,0
2007304,14.551,155.032,-4.982,0.79,0,267.981,985.087,0.00001
2007305,9.237,350.633,-3.604,0.885,0,244.905,985.562,0
2007306,9.211,113.204,-1.797,0.906,0,224.25,978.846,0
2007307,2.119,324.011,-2.487,0.943,0,245.041,987.292,0
2007308,4.254,98.007,-3.316,0.93,0,226.193,979.958,0
2007309,10.764,156.823,-0.595,0.943,0,301.56,985.992,0.00003
2007310,2.723,180.898,-5.45,0.866,0,234.96,1004.176,0
2007311,7.119,9.279,-3.252,0.855,0,284.604,984.879,0.00002
2007312,3.744,140.089,-3.228,0.948,0,281.683,989.357,0.00004
2007313,5.531,177.696,-3.952,0.929,0,272.716,994.338,0
2007314,11.045,328.177,-2.148,0.935,0,297.301,983.871,0.00033
2007315,8.026,321.387,0.113,0.958,0,304.12,971.444,0.00003
2007316,5.05,78.878,-3.63,0.917,0,216.184,986.008,0
2007317,10.489,29.242,2.975,0.788,0,295.1,954.305,0
2007318,13.783,165.756,-4.376,0.843,0,255.036,980.98,0
2007319,4.293,114.769,-3.259,0.914,0,286.355,991.716,0.00001
2007320,4.716,260.106,-5.988,0.855,0,204.308,988.202,0
2007321,4.578,283.145,-9.652,0.841,0,186.767,998.227,0
2007322,9.979,346.49,-5.731,0.854,0,277.396,985.213,0.00003
2007323,7.856,170.015,-2.3,0.931,0,297.432,973.5,0.00046
2007324,6.681,235.315,-9.207,0.768,0,260.148,997.573,0.00031
2007325,3.51,157.416,-17.545,0.802,0,162.821,1008.291,0
2007326,5.717,19.903,-14.011,0.781,0,188.244,1002.181,0
2007327,8.074,162.27,-10.599,0.86,0,243.367,990.807,0.00001
2007328,7.499,106.925,-7.245,0.876,0,268.818,978.142,0.00022
2007329,5.524,229.433,-14.967,0.688,0,245.961,982.694,0.00015
2007330,6.837,117.902,-20.647,0.739,0,185.133,994.276,0
2007331,3.114,148.065,-16.864,0.69,0,216.289,1001.016,0.00002
2007332,3.954,269.331,-15.799,0.783,0,228.754,993.406,0.00002
2007333,8.621,133.328,-17.512,0.728,0,210.04,988.033,0.00001
2007334,2.396,85.521,-18.818,0.679,0,210.056,991.959,0.00003
2007335,3.142,168.089,-21.696,0.8,0,154.245,997.708,0
2007336,5.494,222.22,-17.966,0.733,0,225.377,995.865,0.00001
2007337,5.31,261.455,-17.076,0.796,0,223.813,1002.068,0
2007338,8.068,276.243,-15.475,0.786,0,225.11,999.281,0.00001
2007339,6.868,103.33,-21.972,0.766,0,159.931,998.443,0
2007340,8.515,124.161,-15.278,0.742,0,234.969,980.834,0.00001
2007341,8.624,109.784,-18.657,0.737,0,201.188,985.741,0.00001
2007342,6.645,96.016,-22.652,0.766,0,146.325,1001.109,0
2007343,5.859,34.507,-20.135,0.779,0,169.684,993.725,0
2007344,4.336,288.085,-12.804,0.844,0,244.234,988.551,0.00001
2007345,9.429,127.053,-12.813,0.808,0,243.883,991.593,0.00003
2007346,4.824,300.746,-13.979,0.81,0,235.866,992.042,0.00008
2007347,10.935,199.398,-20.071,0.698,0,208.348,988.494,0
2007348,5.049,7.618,-24.97,0.765,0,148.112,1000.987,0
2007349,6.234,129.455,-12.53,0.839,0,251.506,989.291,0.00005
2007350,5.656,308.166,-16.839,0.828,0,214.881,989.254,0
2007351,4.285,260.984,-14.029,0.816,0,238.535,982.17,0
2007352,6.005,281.692,-15.491,0.795,0,238.234,988.493,0.00001
2007353,8.047,330.525,-12.885,0.847,0,250.532,985.99,0
2007354,6.938,350.513,-5.562,0.91,0,260.254,974.784,0
2007355,4.845,132.407,-7.869,0.896,0,270.386,979.972,0.00001
2007356,6.791,205.665,-8.915,0.873,0,265.491,990.261,0.00049
2007357,8.299,189.306,-18.102,0.787,0,213.97,991.115,0.00001
2007358,6.859,1.034,-16.787,0.793,0,225.531,983.425,0
2007359,9.113,178.128,-13.475,0.806,0,237.836,985.394,0.00001
2007360,2.848,293.134,-19.649,0.769,0,180.884,995.254,0
2007361,3.479,31.252,-11.27,0.832,0,249.129,992.395,0
2007362,8.923,329.55,-12.412,0.842,0,240.143,992.251,0
2007363,6.015,342.723,-10.285,0.869,0,244.461,983.015,0.00001
2007364,6.391,343.668,-11.383,0.861,0,249.909,980.402,0.00004
2007365,9.902,158.504,-13.223,0.802,0,248.243,986.57,0.00001
